UKPRN,HE Provider,Country of HE provider,Region of HE provider,Mode of employment,Atypical marker,Academic marker,Contract marker,Academic Year,Number
10007849,Abertay University,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2019/20,30
10007849,Abertay University,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2019/20,80
10007849,Abertay University,Scotland,Scotland,Part-time,Academic atypical,Academic,Academic,2019/20,0
10007849,Abertay University,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2020/21,180
10007849,Abertay University,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2020/21,180
10007849,Abertay University,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2020/21,0
10007849,Abertay University,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2020/21,30
10007849,Abertay University,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2020/21,80
10007849,Abertay University,Scotland,Scotland,Part-time,Academic atypical,Academic,Academic,2020/21,0
10007856,Aberystwyth University,Wales,Wales,Full-time,Non-atypical,Academic,Academic,2014/15,535
10007856,Aberystwyth University,Wales,Wales,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,760
10007856,Aberystwyth University,Wales,Wales,Full-time,Academic atypical,Academic,Academic,2014/15,0
10007856,Aberystwyth University,Wales,Wales,Part-time,Non-atypical,Academic,Academic,2014/15,405
10007856,Aberystwyth University,Wales,Wales,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,520
10007856,Aberystwyth University,Wales,Wales,Part-time,Academic atypical,Academic,Academic,2014/15,10
10007856,Aberystwyth University,Wales,Wales,Full-time,Non-atypical,Academic,Academic,2015/16,525
10007856,Aberystwyth University,Wales,Wales,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,700
10007856,Aberystwyth University,Wales,Wales,Full-time,Academic atypical,Academic,Academic,2015/16,0
10007856,Aberystwyth University,Wales,Wales,Part-time,Non-atypical,Academic,Academic,2015/16,325
10007856,Aberystwyth University,Wales,Wales,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,605
10007856,Aberystwyth University,Wales,Wales,Part-time,Academic atypical,Academic,Academic,2015/16,5
10007856,Aberystwyth University,Wales,Wales,Full-time,Non-atypical,Academic,Academic,2016/17,515
10007856,Aberystwyth University,Wales,Wales,Full-time,Non-atypical,Non-academic,Non-academic,2016/17,740
10007856,Aberystwyth University,Wales,Wales,Full-time,Academic atypical,Academic,Academic,2016/17,0
10007856,Aberystwyth University,Wales,Wales,Part-time,Non-atypical,Academic,Academic,2016/17,280
10007856,Aberystwyth University,Wales,Wales,Part-time,Non-atypical,Non-academic,Non-academic,2016/17,680
